nr;area name;belongs to;eligible voters;voters;invalid votes;valid votes;cdu;spd;linke;green;fdp;afd
41;Stadt Hannover I;3;179883;134805;956;133849;36401;36645;12470;16292;13658;12226
42;Stadt Hannover II;3;193433;149031;940;148091;36203;37964;17823;22079;14735;11241
43;Hannover-Land I;3;232926;181650;1274;180376;62828;48783;10890;14335;18869;18366
44;Celle – Uelzen;3;214612;162145;1139;161006;58858;40899;9297;12478;16334;17554
45;Gifhorn – Peine;3;218556;168861;1288;167573;56567;50445;10166;12094;14004;18289
46;Hameln-Pyrmont – Holzminden;3;187377;139780;1107;138673;44424;44190;9130;9995;12531;14054
47;Hannover-Land II;3;239923;188495;1479;187016;58984;55161;12305;16290;17925;19392
48;Hildesheim;3;218349;169613;1316;168297;54871;52077;10932;14806;13876;15695
49;Salzgitter – Wolfenbüttel;3;206133;157046;1327;155719;45985;50482;11266;10213;12450;19115
50;Braunschweig;3;192041;147712;1055;146657;42534;38695;13673;17295;14684;12268
51;Helmstedt – Wolfsburg;3;183961;137303;1291;136012;47037;40740;9050;8064;10988;14862
52;Goslar – Northeim – Osterode;3;202963;150977;1187;149790;48131;48016;9521;9929;13734;15132
53;Göttingen;3;220420;170547;1223;169324;51177;47871;14748;19676;15421;13446
3;Niedersachsen;99;6124582;4681871;34895;4646976;1623481;1275172;322979;404825;431405;422362
54;Bremen I;4;252496;188064;1688;186376;48458;45729;26425;23568;19138;15539
55;Bremen II – Bremerhaven;4;221655;147855;1908;145947;34951;43215;18204;13165;11918;17705
4;Bremen;99;474151;335919;3596;332323;83409;88944;44629;36733;31056;33244
56;Prignitz – Ostprignitz-Ruppin – Havelland I;12;176002;120228;1820;118408;35215;24884;19447;4231;6555;22183
